production_companies,count
BBC,3307
Warner Bros. Pictures,3162
Columbia Pictures,2910
Metro-Goldwyn-Mayer,2854
ONF | NFB,2807
ARTE,2787
Paramount,2552
Universal Pictures,2542
ZDF,2368
Toei Company,2289
Nikkatsu Corporation,1940
20th Century Fox,1726
ARD,1559
Mosfilm,1549
Canal+,1514
Shochiku,1380
TOHO,1367
Česká televize,1313
RKO Radio Pictures,1199
Walt Disney Productions,1189
France Télévisions,1172
SVT,1071
RAI,1070
DEFA,1053
CNC,1043
WDR,982
Československá televize Praha,982
Filmové studio Barrandov,966
Lenfilm,934
Republic Pictures,889
Ltd.,887
Daiei Film,874
Fox Film Corporation,822
Gaumont,821
Soyuzmultfilm,820
Shaw Brothers,811
Pathé Frères,810
BR,735
Inc.,723
ORF,714
Universal Film Manufacturing Company,698
The Essanay Film Manufacturing Company,684
Channel 4 Television,680
Viva Films,669
Vitagraph Company of America,664
TVE,664
BFI,648
NDR,645
United Artists,642
Hal Roach Studios,640
HBO,616
ARTE France Cinéma,616
INCAA,616
National Geographic,614
Gorky Film Studios,613
SF Studios,578
Nordisk Film Denmark,571
Walter Lantz Productions,568
Československá televízia Bratislava,563
Monogram Pictures,559
France 2 Cinéma,543
Dovzhenko Film Studios,531
Warner Bros. Cartoons,520
Film4 Productions,518
Regal Entertainment Inc.,515
Lifetime,510
Fuji Television Network,510
RTS,510
American Mutoscope & Biograph,506
RTBF,497
StudioCanal,497
Edison Studios,496
Ring of Honor (ROH),479
Walt Disney Pictures,478
Československá televize Ostrava,469
Ekran,469
Toei Animation,468
RAI Cinema,461
France 3 Cinéma,452
Fleischer Studios,432
Instituto Mexicano de Cinematografía,431
NHK,429
TF1 Films Production,422
Tokyo University of the Arts,418
CJ Entertainment,413
Children's Film Foundation (CFF),413
UFA,408
Svenska Filminstitutet,407
Lionsgate,400
Universal Television,386
Greek Film Centre,385
Kyivnaukfilm,384
New Line Cinema,381
NBC,377
Krátký film Praha,376
SRF,375
Lumière,373
SWR,371
Reel One Entertainment,369
Film i Väst,366
Belarusfilm,366
YLE,365
Universal International Pictures,361
CBS,359
Famous Studios,356
Star Cinema – ABS-CBN Film Productions,349
France 3,349
TV Asahi,349
The Vitaphone Corporation,347
Globo Filmes,346
LLC,341
Fernsehen der DDR,341
BBC Film,341
First National Pictures,339
DePatie-Freleng Enterprises,337
Changchun Film Studio,335
Miramax,335
Československá televize Brno,335
PBS,332
