genres_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,budget_total,budget_media,budget_menor,budget_maior
Adventure,278412912924,211720846.330038,5000,2923706026,87298328516,66386561.60912547,12000,460000000
Action,276139753572,152647735.52902156,4537,2923706026,97516703061,53906414.07462686,7225,460000000
Comedy,214591886722,85836754.6888,1938,1450026933,73149585186,29259834.0744,12000,250000000
Drama,189561951621,60006948.91452991,1938,2264162353,72526602186,22958721.806267805,6000,260000000
Thriller,147870969017,78362993.64970854,2521,1671537444,57614053046,30532089.5845257,6000,340000000
Science Fiction,138314229024,165052779.26491648,5303,2923706026,46785769597,55830273.98210024,7000,460000000
Fantasy,135082167229,177273185.339895,5000,2923706026,44129690372,57912979.49081365,30000,379000000
Family,128694910991,170909576.3492696,5000,1663075401,41251217150,54782492.89508632,75000,260000000
Romance,87529689504,71452807.75836734,3331,2264162353,28150920155,22980342.98367347,17000,250000000
Animation,87352577907,206020230.91273585,39091,1450026933,25702546172,60619212.66981132,250000,260000000
Crime,74756658555,65403900.7480315,3153,1515341399,31222930437,27316649.551181104,7225,340000000
Horror,43699422842,48501024.24195339,3331,701800000,13908407641,15436634.45172031,10000,200000000
Mystery,42434668194,64785752.96793893,5206,770945583,16862190147,25743801.75114504,15000,190000000
History,23894939131,62881418.76578947,20311,933700000,11640073355,30631771.986842107,20000,175000000
War,20103811034,73371573.11678833,18295,870322670,8511832035,31065080.41970803,20000,175000000
Music,15330270226,66078750.97413793,5000,903992901,4946638251,21321716.599137932,160000,175000000
Western,6141661356,51610599.6302521,4500,532950503,3180121190,26723707.478991598,200000,215000000
Documentary,1742107808,33502073.230769232,13308,261200000,315909099,6075174.980769231,25000,60000000
TV Movie,52219883,10443976.6,5000,42000000,17130178,3426035.6,130178,7000000
