production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
Warner Bros. Pictures,78340137054,138166026.55026454,71368,1341511219,567,30050951454,52999914.38095238,151000,300000000
Universal Pictures,75498433711,137269879.47454545,65708,1671537444,550,22867276027,41576865.50363636,95745,340000000
20th Century Fox,62732640527,144545254.67050692,6344,2923706026,434,18441938764,42492946.4608295,220000,250000000
Paramount,62212369446,138866896.08482143,46509,2264162353,448,20673826472,46146934.08928572,300000,291000000
Columbia Pictures,58657397327,138998571.8649289,14873,1921847111,422,20557161961,48713653.93601896,7225,258000000
Walt Disney Pictures,53494712204,286067979.70053476,2706352,1663075401,187,17498582483,93575307.39572193,3000000,379000000
Marvel Studios,30961973635,884627818.1428572,163712074,2800000000,35,6896000000,197028571.42857143,110000000,365000000
New Line Cinema,27418252759,128122676.44392523,170255,1118888979,214,7954300000,37169626.1682243,12000,250000000
Metro-Goldwyn-Mayer,20340354548,83362108.80327868,5902,1142471295,244,8141203179,33365586.79918033,200000,250000000
DreamWorks Pictures,20132918317,165023920.63114753,107423,928760770,122,7174700000,58809016.39344262,8000000,200000000
Amblin Entertainment,19246329946,256617732.61333334,2280148,1671537444,75,4539000000,60520000.0,9000000,225000000
Village Roadshow Pictures,16649465651,171643975.78350514,46474,1074458282,97,6815800003,70265979.41237113,4000000,190000000
DreamWorks Animation,16445610264,373763869.6363636,17635215,928760770,44,4795000000,108977272.72727273,30000000,175000000
Pixar,15437215360,571748717.037037,18879922,1242805359,27,4366000000,161703703.7037037,30000000,200000000
Relativity Media,15071440735,123536399.46721311,2527904,788680968,122,6327000000,51860655.73770492,6000000,200000000
Touchstone Pictures,14908420825,98081715.95394737,346594,553799566,152,6187784523,40709108.703947365,1800000,160000000
Legendary Pictures,14552447160,296988717.5510204,10539000,1081041287,49,5154500000,105193877.55102041,5000000,270000000
Dune Entertainment,14394560007,208616811.6956522,6414729,2923706026,69,3844900003,55723188.44927536,4900000,237000000
Summit Entertainment,14167937754,114257562.53225806,573335,829747654,124,5636120000,45452580.64516129,160000,155000000
Heyday Films,13719933396,571663891.5,71476,1428545028,24,2719500000,113312500.0,12000000,250000000
Lionsgate,13687248952,91248326.34666666,146863,865011746,150,4901000000,32673333.333333332,1000000,160000000
Lucasfilm Ltd.,12987681326,541153388.5833334,502758,2068223624,24,2320327000,96680291.66666667,777000,294700000
Original Film,12268884883,250385405.7755102,4299141,1515341399,49,3994000000,81510204.08163266,9000000,340000000
TSG Entertainment,10658956588,169189787.1111111,4612788,710644566,63,3935700000,62471428.571428575,7000000,200000000
Regency Enterprises,10452733953,114865208.27472527,1117920,903992901,91,3885985373,42703135.96703297,385373,135000000
Miramax,9546027745,65383751.67808219,6374,306776732,146,3227192051,22104055.143835615,180000,150000000
Jerry Bruckheimer Films,9470262016,350750445.037037,9439660,1065659812,27,3423000000,126777777.77777778,17000000,379000000
Lightstorm Entertainment,9201063053,920106305.3,7959291,2923706026,10,1628000000,162800000.0,42000000,460000000
Illumination,9100209880,700016144.6153846,155152550,1355725263,13,1007000000,77461538.46153846,63000000,100000000
Ingenious Media,9047966282,170716344.94339624,592565,2923706026,53,2855034823,53868581.56603774,4000000,237000000
Skydance,8662947051,346517882.04,14400000,1488732821,25,3207000000,128280000.0,38000000,291000000
Canal+,8629810098,50763588.8117647,31081,458863600,170,3657737994,21516105.847058825,154790,97250400
di Bonaventura Pictures,8510562960,265955092.5,615233,1123794079,32,2871200000,89725000.0,7200000,217000000
Walt Disney Animation Studios,7911542042,527436136.1333333,14460000,1450026933,15,2130000000,142000000.0,30000000,260000000
Imagine Entertainment,7884960026,129261639.77049181,653621,767820459,61,3503000000,57426229.50819672,2000000,250000000
Eon Productions,7674116265,274075580.89285713,3179847,1142471295,28,1820900000,65032142.85714286,1200000,250000000
Syncopy,7567531576,582117813.5384616,48482,1081041287,13,1980006000,152308153.84615386,6000,250000000
Sony Pictures,7505378072,144334193.69230768,6413915,563749323,52,2583700000,49686538.461538464,1500000,130000000
Working Title Films,7493484231,96070310.65384616,1800000,441809770,78,2339318000,29991256.410256412,860000,100000000
dentsu,7336828897,163040642.15555555,2725258,788680968,45,2799477699,62210615.53333333,2500000,209000000
Fox 2000 Pictures,7295033367,121583889.45,2000000,609016565,60,2440000000,40666666.666666664,12000000,155000000
TriStar Pictures,7257236672,65380510.55855856,285000,379014294,111,3209000000,28909909.90990991,1000000,130000000
WingNut Films,7209387242,514956231.5714286,242623,1118888979,14,1586000000,113285714.28571428,3000000,250000000
Bad Robot,7188822117,479254807.8,1430655,2068223624,15,1690700000,112713333.33333333,6700000,250000000
StudioCanal,7119248839,57413297.088709675,47748,278731369,124,3283738332,26481760.741935484,823258,100000000
RatPac Entertainment,7078080193,244071730.79310346,1646788,873637528,29,2419400000,83427586.20689656,6000000,300000000
Pascal Pictures,7075564277,589630356.4166666,35164920,1921847111,12,1258000000,104833333.33333333,30000000,200000000
DC Films,7051214793,503658199.5,124818235,1148528393,14,2309000000,164928571.42857143,55000000,300000000
Atlas Entertainment,6876461895,327450566.4285714,25232289,933700000,21,2382000000,113428571.42857143,20000000,300000000
